ID,Name,Country of Incorporation,Country of Incorporation,GICS Sector Name,GICS Sector Name
ISCTR.IS,Turkiye Is Bankasi AS,Turkey,Turkey,Financials,Financials
VKFYO.IS,Vakif Menkul Kiymet Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
INVEO.IS,Inveo Yatirim Holding AS,Turkey,Turkey,Financials,Financials
GLYHO.IS,Global Yatirim Holding AS,Turkey,Turkey,Financials,Financials
ISYAT.IS,Is Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
DZGYO.IS,Deniz Gayrimenkul Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
MTRYO.IS,Metro Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
GARFA.IS,Garanti Faktoring AS,Turkey,Turkey,Financials,Financials
ATLAS.IS,Atlas Menkul Kiymetler Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
TURSG.IS,Turkiye Sigorta AS,Turkey,Turkey,Financials,Financials
AKGRT.IS,AK Sigorta AS,Turkey,Turkey,Financials,Financials
RAYSG.IS,Ray Sigorta AS,Turkey,Turkey,Financials,Financials
CRDFA.IS,Creditwest Faktoring AS,Turkey,Turkey,Financials,Financials
ISFIN.IS,Is Finansal Kiralama AS,Turkey,Turkey,Financials,Financials
ICUGS.IS,Icu Girisim Sermayesi Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
ANHYT.IS,Anadolu Hayat Emeklilik AS,Turkey,Turkey,Financials,Financials
YESIL.IS,Yesil Yatirim Holding AS,Turkey,Turkey,Financials,Financials
SEKFK.IS,Seker Finansal Kiralama AS,Turkey,Turkey,Financials,Financials
ISGSY.IS,Is Girisim Sermayesi Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
MARKA.IS,Marka Yatirim Holding AS,Turkey,Turkey,Financials,Financials
VAKBN.IS,Turkiye Vakiflar Bankasi TAO,Turkey,Turkey,Financials,Financials
GLRYH.IS,Guler Yatirim Holding AS,Turkey,Turkey,Financials,Financials
EUYO.IS,Euro Menkul Kiymet Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
HUBVC.IS,Hub Girisim Sermayesi Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
OYAYO.IS,OYAK Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
HALKB.IS,Turkiye Halk Bankasi AS,Turkey,Turkey,Financials,Financials
ISMEN.IS,Is Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
ALBRK.IS,Albaraka Turk Katilim Bankasi AS,Turkey,Turkey,Financials,Financials
ETYAT.IS,Euro Trend Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
LRSHO.IS,Loras Holding AS,Turkey,Turkey,Financials,Financials
GOZDE.IS,Gozde Girisim Sermayesi Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
EUHOL.IS,Euro Yatirim Holding AS,Turkey,Turkey,Financials,Financials
GEDIK.IS,Gedik Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
AGESA.IS,Agesa Hayat ve Emeklilik AS,Turkey,Turkey,Financials,Financials
INFO.IS,Info Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
GLBMD.IS,Global Menkul Degerler AS,Turkey,Turkey,Financials,Financials
EUKYO.IS,Euro Kapital Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
OSMEN.IS,Osmanli Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
DENGE.IS,Denge Yatirim Holding AS,Turkey,Turkey,Financials,Financials
VERUS.IS,Verusa Holding AS,Turkey,Turkey,Financials,Financials
LIDFA.IS,Lider Faktoring AS,Turkey,Turkey,Financials,Financials
HDFGS.IS,Hedef Girisim Sermayesi Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
VERTU.IS,Verusaturk Girisim Sermayesi Yatirim Ortakligi AS,Turkey,Turkey,Financials,Financials
RPFGY.IS,Fiba Portfoy Yonetimi AS,Turkey,Turkey,Financials,Financials
MTRKS.IS,Matriks Bilgi Dagitim Hizmetleri AS,Turkey,Turkey,Financials,Financials
ULUFA.IS,Ulusal Faktoring AS,Turkey,Turkey,Financials,Financials
OYYAT.IS,Oyak Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
GLCVY.IS,Gelecek Varlik Yonetimi AS,Turkey,Turkey,Financials,Financials
UNLU.IS,Unlu Yatirim Holding AS,Turkey,Turkey,Financials,Financials
HEDEF.IS,Hedef Holding AS,Turkey,Turkey,Financials,Financials
A1CAP.IS,A1 Capital Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
INVES.IS,Investco Holding AS,Turkey,Turkey,Financials,Financials
BRKVY.IS,Birikim Varlik Yonetim AS,Turkey,Turkey,Financials,Financials
TERA.IS,Tera Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
BINHO.IS,1000 Yatirimlar Holding AS,Turkey,Turkey,Financials,Financials
SKYMD.IS,Seker Yatirim Menkul Degerler AS,Turkey,Turkey,Financials,Financials
OCBC.SI,Oversea-Chinese Banking Corporation Ltd,Singapore,Singapore,Financials,Financials
GELA.SI,Great Eastern Holdings Ltd,Singapore,Singapore,Financials,Financials
UOBH.SI,United Overseas Bank Ltd,Singapore,Singapore,Financials,Financials
BMHL.SI,British and Malayan Trustees Ltd,Singapore,Singapore,Financials,Financials
SINV.SI,Sing Investments & Finance Ltd,Singapore,Singapore,Financials,Financials
SBDS.SI,Singapura Finance Ltd,Singapore,Singapore,Financials,Financials
UOIS.SI,United Overseas Insurance Ltd,Singapore,Singapore,Financials,Financials
DBSM.SI,DBS Group Holdings Ltd,Singapore,Singapore,Financials,Financials
HLSF.SI,Hong Leong Finance Ltd,Singapore,Singapore,Financials,Financials
IFAC.SI,IFS Capital Ltd,Singapore,Singapore,Financials,Financials
TIHL.SI,TIH Ltd,Singapore,Singapore,Financials,Financials
PCEN.SI,Pacific Century Regional Developments Ltd,Singapore,Singapore,Financials,Financials
PLAT.SI,Plato Capital Ltd,Singapore,Singapore,Financials,Financials
SGXL.SI,Singapore Exchange Ltd,Singapore,Singapore,Financials,Financials
UOKH.SI,UOB-Kay Hian Holdings Ltd,Singapore,Singapore,Financials,Financials
NPFH.SI,Net Pacific Financial Holdings Ltd,Singapore,Singapore,Financials,Financials
UAFC.SI,Uni-Asia Group Ltd,Singapore,Singapore,Financials,Financials
OXPA.SI,Oxpay Financial Ltd,Singapore,Singapore,Financials,Financials
FOIL.SI,Forise International Ltd,Singapore,Singapore,Financials,Financials
ONEA.SI,Oneapex Ltd,Singapore,Singapore,Financials,Financials
VAMG.SI,Valuemax Group Ltd,Singapore,Singapore,Financials,Financials
8IH.AX,8I Holdings Ltd,Singapore,Singapore,Financials,Financials
IFAS.SI,IFAST Corporation Ltd,Singapore,Singapore,Financials,Financials
8313.HK,ZACD Group Ltd,Singapore,Singapore,Financials,Financials
OIOH.SI,OIO Holdings Ltd,Singapore,Singapore,Financials,Financials
V2YC.SI,V2Y Corporation Ltd,Singapore,Singapore,Financials,Financials
EQOSQ.PK,Eqonex Ltd,Singapore,Singapore,Financials,Financials
YANZ.SI,Yangzijiang Financial Holding Ltd,Singapore,Singapore,Financials,Financials
DFIN.BO,Dharani Finance Ltd,India,India,Financials,Financials
KBNK.NS,Karnataka Bank Ltd,India,India,Financials,Financials
PIRA.NS,Piramal Enterprises Ltd,India,India,Financials,Financials
BOXY.BO,Bombay Oxygen Investments Ltd,India,India,Financials,Financials
HDBK.NS,HDFC Bank Ltd,India,India,Financials,Financials
TINV.NS,Tata Investment Corporation Ltd,India,India,Financials,Financials
AMPC.BO,Ambitious Plastomac Company Ltd,India,India,Financials,Financials
MAXI.NS,Max Financial Services Ltd,India,India,Financials,Financials
DNBK.NS,Dhanlaxmi Bank Ltd,India,India,Financials,Financials
BAID.NS,Baid Finserv Ltd,India,India,Financials,Financials
CAPT.NS,Capital Trust Ltd,India,India,Financials,Financials
CHCI.BO,Chartered Capital and Investment Ltd,India,India,Financials,Financials
UGRO.NS,Ugro Capital Ltd,India,India,Financials,Financials
CSLF.NS,CSL Finance Ltd,India,India,Financials,Financials
CUBI.BO,Cubical Financial Services Ltd,India,India,Financials,Financials
PHCP.BO,P H Capital Ltd,India,India,Financials,Financials
TNVE.NS,Investment Trust of India Ltd,India,India,Financials,Financials
SVIL.BO,Silicon Valley Infotech Ltd,India,India,Financials,Financials
ICCL.BO,Indo Credit Capital Ltd,India,India,Financials,Financials
ABFS.BO,Abirami Financial Services (India) Ltd,India,India,Financials,Financials
PAIN.BO,Pan India Corp Ltd,India,India,Financials,Financials
AJCM.BO,Ajcon Global Services Ltd,India,India,Financials,Financials
CTBK.NS,City Union Bank Ltd,India,India,Financials,Financials
KHSE.NS,Khandwala Securities Ltd,India,India,Financials,Financials
JKBK.NS,Jammu and Kashmir Bank Ltd,India,India,Financials,Financials
ADMF.BO,AD- Manum Finance Ltd,India,India,Financials,Financials
IDLE.BO,India Lease Development Ltd,India,India,Financials,Financials
IGFL.BO,Inter Globe Finance Ltd,India,India,Financials,Financials
IMBS.NS,Indbank Merchant Banking Services Ltd,India,India,Financials,Financials
INDI.NS,Industrial Investment Trust Ltd,India,India,Financials,Financials
MARO.BO,Margo Finance Ltd,India,India,Financials,Financials
ISLC.BO,Isl Consulting Ltd,India,India,Financials,Financials
INCC.BO,Intec Capital Ltd,India,India,Financials,Financials
ISFL.BO,ISF Ltd,India,India,Financials,Financials
KEYN.NS,Keynote Financial Services Ltd,India,India,Financials,Financials
SEVE.BO,Seven Hill Industries Ltd,India,India,Financials,Financials
KZLE.BO,K Z Leasing and Finance Ltd,India,India,Financials,Financials
ASTB.BO,Astal Laboratories Ltd,India,India,Financials,Financials
MANF.BO,Mansi Finance (Chennai) Ltd,India,India,Financials,Financials
MATH.BO,Mathew Easow Research Securities Ltd,India,India,Financials,Financials
ARUI.BO,Arunis Abode Ltd,India,India,Financials,Financials
MKTC.BO,Market Creators Ltd,India,India,Financials,Financials
MDSS.BO,Modern Shares and Stockbrokers Ltd,India,India,Financials,Financials
MSTT.NS,Master Trust Ltd,India,India,Financials,Financials
MUTH.NS,Muthoot Capital Services Ltd,India,India,Financials,Financials
HBLP.BO,HB Leasing and Finance Co Ltd,India,India,Financials,Financials
YOGL.BO,Yogi Ltd,India,India,Financials,Financials
PARS.BO,Parsoli Corporation Ltd,India,India,Financials,Financials
PASF.BO,Pasupati Fincap Ltd,India,India,Financials,Financials
AKCL.BO,A K Capital Services Ltd,India,India,Financials,Financials
ALSL.NS,Almondz Global Securities Ltd,India,India,Financials,Financials
BLB.NS,BLB Ltd,India,India,Financials,Financials
SHMF.NS,Shriram Finance Ltd,India,India,Financials,Financials
RETC.BO,Relic Technologies Ltd,India,India,Financials,Financials
SCMK.BO,Standard Capital Markets Ltd,India,India,Financials,Financials
SHAL.BO,Shalibhadra Finance Ltd,India,India,Financials,Financials
ARVL.BO,Aravali Securities and Finance Ltd,India,India,Financials,Financials
CRSV.NS,Crest Ventures Ltd,India,India,Financials,Financials
SHAR.BO,Shardul Securities Ltd,India,India,Financials,Financials
SUDF.BO,Sugal and Damani Share Brokers Ltd,India,India,Financials,Financials
TCII.NS,Tci Finance Ltd,India,India,Financials,Financials
AVAA.BO,Avasara Finance Ltd,India,India,Financials,Financials
TSEC.BO,Titan Securities Ltd,India,India,Financials,Financials
AASA.BO,Aastamangalam Finance Ltd,India,India,Financials,Financials
SHYD.BO,Shrydus Industries Ltd,India,India,Financials,Financials
ANUM.BO,Anupam Finserv Ltd,India,India,Financials,Financials
MECM.BO,Mefcom Capital Markets Ltd,India,India,Financials,Financials
ICCA.BO,India Cements Capital Ltd,India,India,Financials,Financials
GEOJ.NS,Geojit Financial Services Ltd,India,India,Financials,Financials
BOI.NS,Bank of India Ltd,India,India,Financials,Financials
IDBI.NS,IDBI Bank Ltd,India,India,Financials,Financials
CLIO.BO,Clio Infotech Ltd,India,India,Financials,Financials
KARU.NS,Karur Vysya Bank Ltd,India,India,Financials,Financials
SIBK.NS,South Indian Bank Ltd,India,India,Financials,Financials
BJAT.NS,Bajaj Holdings and Investment Ltd,India,India,Financials,Financials
AXBK.NS,Axis Bank Ltd,India,India,Financials,Financials
FED.NS,Federal Bank Ltd,India,India,Financials,Financials
DHUN.NS,Dhunseri Ventures Ltd,India,India,Financials,Financials
IFCI.NS,IFCI Ltd,India,India,Financials,Financials
WILM.NS,Williamson Magor and Co Ltd,India,India,Financials,Financials
APLM.BO,Apollo Finvest (India) Ltd,India,India,Financials,Financials
CNFH.NS,Can Fin Homes Ltd,India,India,Financials,Financials
ILFS.NS,IL&FS Investment Managers Ltd,India,India,Financials,Financials
HBSH.NS,HB Stockholdings Ltd,India,India,Financials,Financials
IBNK.BO,Ind Bank Housing Ltd,India,India,Financials,Financials
JMSH.NS,JM Financial Ltd,India,India,Financials,Financials
NALS.NS,Nalwa Sons Investments Ltd,India,India,Financials,Financials
BOB.NS,Bank of Baroda Ltd,India,India,Financials,Financials
KTKM.NS,Kotak Mahindra Bank Ltd,India,India,Financials,Financials
LKPM.BO,LKP Finance Ltd,India,India,Financials,Financials
MHSC.NS,Maharashtra Scooters Ltd,India,India,Financials,Financials
SWIS.BO,Swiss Military Consumer Goods Ltd,India,India,Financials,Financials
JKEL.BO,Jaykay Enterprises Ltd,India,India,Financials,Financials
KECR.BO,Key Corp Ltd,India,India,Financials,Financials
NAPE.BO,Naperol Investments Ltd,India,India,Financials,Financials
ORCR.NS,Oriental Carbon & Chemicals Ltd,India,India,Financials,Financials
PILE.BO,Pioneer Investcorp Ltd,India,India,Financials,Financials
AVCA.NS,Avonmore Capital & Management Services Ltd,India,India,Financials,Financials
SBI.NS,State Bank of India,India,India,Financials,Financials
MCFL.NS,Mangal Credit and Fincorp Ltd,India,India,Financials,Financials
CHOL.NS,Cholamandalam Financial Holdings Ltd,India,India,Financials,Financials
VBDE.BO,V B Desai Financial Services Ltd,India,India,Financials,Financials
VRDM.NS,Vardhman Holdings Ltd,India,India,Financials,Financials
WSFX.BO,WSFx Global Pay Ltd,India,India,Financials,Financials
SKFN.NS,Sakthi Finance Ltd,India,India,Financials,Financials
SNFN.NS,Sundaram Finance Ltd,India,India,Financials,Financials
SUMM.NS,Summit Securities Ltd,India,India,Financials,Financials
RLCP.NS,Reliance Capital Ltd,India,India,Financials,Financials
IOBK.NS,Indian Overseas Bank,India,India,Financials,Financials
QCML.BO,Quest Capital Markets Ltd,India,India,Financials,Financials
TWMS.NS,Twentyfirst Century Management Services Ltd,India,India,Financials,Financials
BJFN.NS,Bajaj Finance Ltd,India,India,Financials,Financials
CHLA.NS,Cholamandalam Investment and Finance Company Ltd,India,India,Financials,Financials
CRSL.NS,CRISIL Ltd,India,India,Financials,Financials
GICH.NS,GIC Housing Finance Ltd,India,India,Financials,Financials
CONS.NS,Consolidated Finvest & Holdings Ltd,India,India,Financials,Financials
LICH.NS,LIC Housing Finance Ltd,India,India,Financials,Financials
PRME.NS,Prime Securities Ltd,India,India,Financials,Financials
TGFL.NS,Times Guaranty Ltd,India,India,Financials,Financials
TFCI.NS,Tourism Finance Corporation of India Ltd,India,India,Financials,Financials
VLSF.NS,VLS Finance Ltd,India,India,Financials,Financials
ARCM.NS,Arihant Capital Markets Ltd,India,India,Financials,Financials
ASGM.NS,ATN International Ltd,India,India,Financials,Financials
ARFS.BO,Aryaman Financial Services Ltd,India,India,Financials,Financials
ACL.BO,Ashirwad Capital Ltd,India,India,Financials,Financials
FEDE.BO,Fedders Holding Ltd,India,India,Financials,Financials
BRST.BO,Bridge Securities Ltd,India,India,Financials,Financials
CEEF.BO,Ceejay Finance Ltd,India,India,Financials,Financials
DCFS.NS,DCM Financial Services Ltd,India,India,Financials,Financials
DSS.BO,DJS Stock and Shares Ltd,India,India,Financials,Financials
MORG.BO,Morgan Ventures Ltd,India,India,Financials,Financials
SAIF.BO,Sainik Finance & Industries Ltd,India,India,Financials,Financials
GLCM.BO,Global Capital Markets Ltd,India,India,Financials,Financials
GSBF.BO,GSB Finance Ltd,India,India,Financials,Financials
GSLS.BO,GSL Securities Ltd,India,India,Financials,Financials
SIVE.BO,Siddha Ventures Ltd,India,India,Financials,Financials
JFIL.BO,Jagsonpal Finance and Leasing Ltd,India,India,Financials,Financials
JINC.BO,Jindal Capital Ltd,India,India,Financials,Financials
KJFS.BO,KJMC Financial Services Ltd,India,India,Financials,Financials
LADF.BO,Ladderup Finance Ltd,India,India,Financials,Financials
LIBF.BO,Libord Finance Ltd,India,India,Financials,Financials
MAAC.NS,Maha Rashtra Apex Corporation Ltd,India,India,Financials,Financials
MEIF.BO,Mehta Integrated Finance Ltd,India,India,Financials,Financials
MORF.BO,Morarka Finance Ltd,India,India,Financials,Financials
NDAS.BO,N D A Securities Ltd,India,India,Financials,Financials
MONR.NS,Monarch Networth Capital Ltd,India,India,Financials,Financials
NIAC.BO,Nicco Uco Alliance Credit Ltd,India,India,Financials,Financials
NPRL.BO,NPR Finance Ltd,India,India,Financials,Financials
PCMI.BO,Premium Capital Market and Investment Ltd,India,India,Financials,Financials
KISA.BO,Kisaan Parivar Industries Ltd,India,India,Financials,Financials
RRFC.BO,R R Financial Consultants Ltd,India,India,Financials,Financials
EXPF.BO,Explicit Finance Ltd,India,India,Financials,Financials
SITE.BO,Sita Enterprises Ltd,India,India,Financials,Financials
SDFC.BO,Som Datt Finance Corporation Ltd,India,India,Financials,Financials
SVAS.BO,Svam Software Ltd,India,India,Financials,Financials
SWAF.BO,Swastika Investmart Ltd,India,India,Financials,Financials
SYCS.BO,Systematix Corporate Services Ltd,India,India,Financials,Financials
KREN.BO,Kreon Finnancial Services Ltd,India,India,Financials,Financials
YMFS.BO,Yash Management & Satellite Ltd.,India,India,Financials,Financials
ICBK.NS,ICICI Bank Ltd,India,India,Financials,Financials
UCRE.BO,United Credit Ltd,India,India,Financials,Financials
MEGA.BO,Mega Corp Ltd,India,India,Financials,Financials
INBK.NS,Indusind Bank Ltd,India,India,Financials,Financials
GSFN.BO,Gujarat State Financial Corp,India,India,Financials,Financials
WFFS.BO,Wallfort Financial Services Ltd,India,India,Financials,Financials
SILI.NS,Sil Investments Ltd,India,India,Financials,Financials
UPIF.BO,Upsurge Investment and Finance Ltd,India,India,Financials,Financials
PRIH.BO,Prithvi Exchange (India) Ltd,India,India,Financials,Financials
PNBG.NS,Pnb Gilts Ltd,India,India,Financials,Financials
DOLA.NS,Dolat Algotech Ltd,India,India,Financials,Financials
YAMI.BO,Yamini Investments Company Ltd,India,India,Financials,Financials
WILF.BO,Williamson Financial Services Ltd,India,India,Financials,Financials
BLCI.NS,Blue Chip India Ltd,India,India,Financials,Financials
PNBK.NS,Punjab National Bank,India,India,Financials,Financials
BBSL.BO,Boston Bio Systems Ltd,India,India,Financials,Financials
UNBK.NS,Union Bank of India Ltd,India,India,Financials,Financials
CNBK.NS,Canara Bank Ltd,India,India,Financials,Financials
BRLF.BO,Brijlaxmi Leasing & Finance Ltd,India,India,Financials,Financials
AADH.BO,Aadhaar Ventures India Ltd,India,India,Financials,Financials
UCBK.NS,UCO Bank,India,India,Financials,Financials
AMRP.BO,Amrapali Industries Ltd,India,India,Financials,Financials
FCUS.BO,First Custodian Fund (India) Ltd,India,India,Financials,Financials
GINV.BO,Ashtasidhhi Industries Ltd,India,India,Financials,Financials
GLAN.BO,Glance Finance Ltd,India,India,Financials,Financials
GOYA.BO,Goyal Associates Ltd,India,India,Financials,Financials
HAST.BO,Hasti Finance Ltd,India,India,Financials,Financials
ARLF.NS,Arman Financial Services Ltd,India,India,Financials,Financials
ELIX.BO,Elixir Capital Ltd,India,India,Financials,Financials
BBSS.BO,Bharat Bhushan Finance & Commodity Brokers Limited,India,India,Financials,Financials
CFSL.NS,Choice International Ltd,India,India,Financials,Financials
JAYA.BO,Jayabharat Credit Ltd,India,India,Financials,Financials
TCFC.BO,TCFC Finance Ltd,India,India,Financials,Financials
BMBK.NS,Bank of Maharashtra Ltd,India,India,Financials,Financials
POON.NS,Poonawalla Fincorp Ltd,India,India,Financials,Financials
UNIE.BO,United Interactive Ltd,India,India,Financials,Financials
GBFL.BO,Goenka Business & Finance Ltd,India,India,Financials,Financials
MICS.BO,Mangalam Industrial Finance Ltd,India,India,Financials,Financials
MLTF.BO,Minolta Finance Ltd,India,India,Financials,Financials
PCAP.BO,Prime Capital Market Ltd,India,India,Financials,Financials
SUMF.BO,Sumedha Fiscal Services Ltd,India,India,Financials,Financials
CHRM.BO,Charms Industries Ltd,India,India,Financials,Financials
GKCL.BO,G K Consultants Ltd,India,India,Financials,Financials
INDN.BO,Indianivesh Ltd,India,India,Financials,Financials
IIFL.NS,IIFL Finance Ltd,India,India,Financials,Financials
INCT.BO,Indo-City Infotech Ltd,India,India,Financials,Financials
YESB.NS,Yes Bank Ltd,India,India,Financials,Financials
JINP.NS,Jindal Photo Ltd,India,India,Financials,Financials
CENC.NS,Centrum Capital Ltd,India,India,Financials,Financials
JNSW.NS,JSW Holdings Ltd,India,India,Financials,Financials
AMAG.BO,Amraworld Agrico Ltd,India,India,Financials,Financials
BNRA.BO,BN Rathi Securities Ltd,India,India,Financials,Financials
CITI.BO,Citi Port Financial Services Ltd,India,India,Financials,Financials
DLST.BO,Dalal Street Investments Ltd,India,India,Financials,Financials
DBSB.NS,DB (International) Stock Brokers Ltd,India,India,Financials,Financials
AGAW.BO,Agarwal Fortune India Ltd,India,India,Financials,Financials
AFIN.BO,Available Finance Ltd,India,India,Financials,Financials
SIGR.BO,Sigrun Holdings Ltd,India,India,Financials,Financials
GOGC.BO,Gogia Capital Growth Ltd,India,India,Financials,Financials
UYFI.NS,U Y Fincorp Ltd,India,India,Financials,Financials
ALGO.BO,Algoquant Fintech Ltd,India,India,Financials,Financials
CHAM.BO,Challani Capital Ltd,India,India,Financials,Financials
JPTS.BO,JPT Securities Ltd,India,India,Financials,Financials
LIBD.BO,Libord Securities Ltd,India,India,Financials,Financials
MFSL.BO,Mahan Industries Ltd,India,India,Financials,Financials
MNFL.NS,Manappuram Finance Ltd,India,India,Financials,Financials
INDH.BO,India Home Loan Ltd,India,India,Financials,Financials
NLEA.BO,Nalin Lease Finance Ltd,India,India,Financials,Financials
ASIT.BO,Asit C Mehta Financial Services Ltd,India,India,Financials,Financials
OASE.BO,Oasis Securities Ltd,India,India,Financials,Financials
LFNS.BO,Lead Financial Services Ltd,India,India,Financials,Financials
RFCL.BO,Regal Entertainment and Consultants Ltd,India,India,Financials,Financials
RITC.BO,Regency Trust Ltd,India,India,Financials,Financials
SAFN.BO,Savani Financials Limited,India,India,Financials,Financials
SKPS.BO,SKP Securities Ltd,India,India,Financials,Financials
LUHA.BO,Luharuka Media & Infra Ltd,India,India,Financials,Financials
OPTM.BO,Optimus Finance Ltd,India,India,Financials,Financials
CNIR.BO,CNI Research Ltd,India,India,Financials,Financials
ROYA.BO,Royal India Corporation Ltd,India,India,Financials,Financials
STEH.BO,Stephanotis Finance Ltd,India,India,Financials,Financials
ALKA.BO,Alka Securities Ltd,India,India,Financials,Financials
ARIH.BO,Arihant's Securities Ltd,India,India,Financials,Financials
DHRU.BO,Dhruva Capital Services Ltd,India,India,Financials,Financials
GMTN.BO,Gemstone Investments Ltd,India,India,Financials,Financials
GOLC.BO,Golechha Global Finance Ltd,India,India,Financials,Financials
HBPF.BO,HB Portfolio Ltd,India,India,Financials,Financials
INFN.BO,Indergiri Finance Ltd,India,India,Financials,Financials
JHAV.BO,Jhaveri Credits and Capital Ltd,India,India,Financials,Financials
ODYC.BO,Odyssey Corporation Ltd,India,India,Financials,Financials
TRAD.BO,Tradewell Holdings Ltd,India,India,Financials,Financials
STEA.BO,Stellant Securities (India) Ltd,India,India,Financials,Financials
SILF.BO,CMX Holdings Ltd,India,India,Financials,Financials
SPCF.BO,S P Capital Financing Ltd,India,India,Financials,Financials
SRMA.BO,Shriram Asset Management Co Ltd,India,India,Financials,Financials
BERY.BO,Beryl Securities Ltd,India,India,Financials,Financials
ESRI.BO,Esaar (India) Ltd,India,India,Financials,Financials
ICAP.BO,Integra Capital Ltd,India,India,Financials,Financials
VISG.BO,Visagar Financial Services Ltd,India,India,Financials,Financials
SART.BO,Sarthak Global Ltd,India,India,Financials,Financials
SARC.BO,Saraswati Commercial (India) Ltd,India,India,Financials,Financials
UKFN.BO,Ushakiran Finance Ltd,India,India,Financials,Financials
HEMH.BO,Hem Holdings and Trading Ltd,India,India,Financials,Financials
KAFN.BO,Kailash Auto Finance Ltd,India,India,Financials,Financials
MUNC.BO,Munoth Capital Market Ltd,India,India,Financials,Financials
NIDH.BO,Nidhi Granites Ltd,India,India,Financials,Financials
STAE.NS,Starteck Finance Ltd,India,India,Financials,Financials
POTX.BO,Polytex India Ltd,India,India,Financials,Financials
PRMC.BO,Premier Capital Services Ltd,India,India,Financials,Financials
RAFI.BO,Rajath Finance Ltd,India,India,Financials,Financials
FINK.BO,Finkurve Financial Services Ltd,India,India,Financials,Financials
SHLE.BO,Shikhar Leasing and Trading Ltd,India,India,Financials,Financials
SULE.BO,Sulabh Engineers and Services Ltd,India,India,Financials,Financials
ANFI.BO,Anjani Finance Ltd,India,India,Financials,Financials
INPR.BO,Industrial and Prudential Investment Co Ltd,India,India,Financials,Financials
SHIT.BO,Shivom Investment & Consultancy Ltd,India,India,Financials,Financials
JAFI.BO,J A Finance Ltd,India,India,Financials,Financials
CUPD.BO,Cupid Breweries and Distilleries Ltd,India,India,Financials,Financials
RIUN.BO,Rich Universe Network Ltd,India,India,Financials,Financials
MUKB.BO,Mukesh Babu Financial Services Ltd,India,India,Financials,Financials
VINT.BO,Vintage Securities Ltd,India,India,Financials,Financials
CONC.BO,Contil India Ltd,India,India,Financials,Financials
NIKI.BO,Nikki Global Finance Ltd,India,India,Financials,Financials
ABAT.BO,Abate AS Industries Ltd,India,India,Financials,Financials
GACT.NS,GACM Technologies Ltd,India,India,Financials,Financials
MRTS.BO,Maruti Securities Ltd,India,India,Financials,Financials
ABML.NS,Aditya Birla Money Ltd,India,India,Financials,Financials
BAMS.BO,BAMPSL Securities Ltd,India,India,Financials,Financials
CILS.BO,CIL Securities Ltd,India,India,Financials,Financials
CAPG.NS,Capri Global Capital Ltd,India,India,Financials,Financials
GLDL.BO,Golden Legand Leasing and Finance Ltd,India,India,Financials,Financials
MKVE.BO,Mkventures Capital Ltd,India,India,Financials,Financials
INIS.BO,Inani Securities Ltd,India,India,Financials,Financials
JJFC.BO,J J Finance Corporation Ltd,India,India,Financials,Financials
JONC.BO,Joindre Capital Services Ltd,India,India,Financials,Financials
KJMA.BO,KJMC Corporate Advisors (India) Ltd,India,India,Financials,Financials
KLGC.BO,KLG Capital Services Ltd,India,India,Financials,Financials
MUNF.BO,Munoth Financial Services Ltd,India,India,Financials,Financials
AAGA.BO,Aagam Capital Ltd,India,India,Financials,Financials
PRFN.BO,Paragon Finance Ltd,India,India,Financials,Financials
RAMP.BO,Ramsons Projects Ltd,India,India,Financials,Financials
SAHR.BO,Sahara Housingfina Corporation Ltd,India,India,Financials,Financials
SMIF.BO,SMIFS Capital Markets Ltd,India,India,Financials,Financials
INDF.BO,Indus Finance Ltd,India,India,Financials,Financials
TKYO.BO,Tokyo Finance Ltd,India,India,Financials,Financials
TRNS.BO,Transcorp International Ltd,India,India,Financials,Financials
VRTS.BO,VERTEX Securities Ltd,India,India,Financials,Financials
STNM.BO,Stanrose Mafatlal Investments and Finance Ltd,India,India,Financials,Financials
ACSL.BO,Abhinav Capital Services Ltd,India,India,Financials,Financials
ICLI.BO,Inditrade Capital Ltd,India,India,Financials,Financials
MMFS.NS,Mahindra and Mahindra Financial Services Ltd,India,India,Financials,Financials
EMKS.NS,Emkay Global Financial Services Ltd,India,India,Financials,Financials
