ID,Name,Country of Incorporation,Country of Incorporation,GICS Sector Name,GICS Sector Name
002647.SZ,Rendong Holdings Co Ltd,China (Mainland),China (Mainland),Financials,Financials
603123.SS,Beijing Cuiwei Tower Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002670.SZ,Guosheng Financial Holding Inc,China (Mainland),China (Mainland),Financials,Financials
002839.SZ,Jiangsu Zhangjiagang Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601128.SS,Jiangsu Changshu Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
3698.HK,Huishang Bank Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
601838.SS,Bank of Chengdu Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002736.SZ,Guosen Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
603323.SS,Jiangsu Suzhou Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600926.SS,Bank of Hangzhou Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601997.SS,Bank of Guiyang Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601375.SS,Central China Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601878.SS,Zheshang Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601319.SS,People's Insurance Company Group of China Ltd,China (Mainland),China (Mainland),Financials,Financials
600927.SS,Yongan Futures Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002961.SZ,Ruida Futures Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1461.HK,Zhongtai Futures Co Ltd,China (Mainland),China (Mainland),Financials,Financials
603093.SS,Nanhua Futures Co Ltd,China (Mainland),China (Mainland),Financials,Financials
300803.SZ,Beijing Compass Technology Development Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601881.SS,China Galaxy Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601211.SS,Guotai Junan Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
2799.HK,中國中信金融資產管理股份有限公司,China (Mainland),China (Mainland),Financials,Financials
2066.HK,盛京銀行股份有限公司,China (Mainland),China (Mainland),Financials,Financials
1359.HK,中國信達資產管理股份有限公司,China (Mainland),China (Mainland),Financials,Financials
600909.SS,Huaan Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
3903.HK,Hanhua Financial Holding Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601198.SS,Dongxing Securities Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
6138.HK,哈爾濱銀行股份有限公司,China (Mainland),China (Mainland),Financials,Financials
600958.SS,Orient Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002807.SZ,Jiangsu Jiangyin Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600908.SS,Wuxi Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601963.SS,Bank of Chongqing Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1578.HK,Bank of Tianjin Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601916.SS,China Zheshang Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
6866.HK,Zuoli Kechuang Micro-finance Co Ltd,China (Mainland),China (Mainland),Financials,Financials
000166.SZ,Shenwan Hongyuan Group Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1606.HK,China Development Bank Financial Leasing Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1508.HK,China Reinsurance Group Corp,China (Mainland),China (Mainland),Financials,Financials
002926.SZ,Huaxi Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002797.SZ,First Capital Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1476.HK,Hengtai Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601456.SS,Guolian Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601995.SS,China International Capital Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
1543.HK,廣東中盈盛達融資擔保投資股份有限公司,China (Mainland),China (Mainland),Financials,Financials
601108.SS,Caitong Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002948.SZ,Bank of Qingdao Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002936.SZ,Bank of Zhengzhou Co Ltd,China (Mainland),China (Mainland),Financials,Financials
001236.SZ,Holly Futures Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601162.SS,Tianfeng Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1697.HK,Shandong International Trust Co Ltd,China (Mainland),China (Mainland),Financials,Financials
9889.HK,Dongguan Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
6060.HK,眾安在?財產保險股份有限公司,China (Mainland),China (Mainland),Financials,Financials
1577.HK,Quanzhou Huixin Micro-credit Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600918.SS,Zhongtai Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
9677.HK,Weihai City Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600901.SS,Jiangsu Financial Leasing Co Ltd,China (Mainland),China (Mainland),Financials,Financials
8452.HK,富銀融資租賃（深圳）股份有限公司,China (Mainland),China (Mainland),Financials,Financials
001227.SZ,Bank of Lanzhou Co Ltd,China (Mainland),China (Mainland),Financials,Financials
6122.HK,Jilin Jiutai Rural Commercial Bank Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
1915.HK,Yangzhou Guangling District Taihe Rural Micro-finance Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002939.SZ,China Great Wall Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002945.SZ,ChinaLin Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002958.SZ,Qingdao Rural Commercial Bank Corp,China (Mainland),China (Mainland),Financials,Financials
601528.SS,Zhejiang Shaoxing RuiFeng Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
002966.SZ,Bank of Suzhou Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601860.SS,Jiangsu Zijin Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600928.SS,Bank of XiAn Co Ltd,China (Mainland),China (Mainland),Financials,Financials
300773.SZ,Lakala Payment Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601990.SS,Nanjing Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1905.HK,Haitong Unitrust International Financial Leasing Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601658.SS,Postal Savings Bank of China Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1216.HK,Zhongyuan Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601066.SS,China Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
2139.HK,Bank of Gansu Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601187.SS,Xiamen Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1916.HK,江西銀行股份有限公司,China (Mainland),China (Mainland),Financials,Financials
6190.HK,Bank of Jiujiang Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1835.HK,上海瑞威資產管理股份有限公司,China (Mainland),China (Mainland),Financials,Financials
1973.HK,Tian Tu Capital Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1983.HK,Luzhou Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601696.SS,BOC International China Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601665.SS,Qilu Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
2558.HK,Jinshang Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
6199.HK,Bank of Guizhou Co Ltd,China (Mainland),China (Mainland),Financials,Financials
1601.HK,Zhongguancun Science-Tech Leasing Co Ltd,China (Mainland),China (Mainland),Financials,Financials
600906.SS,Caida Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
9668.HK,China Bohai Bank Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601059.SS,Cinda Securities Co Ltd,China (Mainland),China (Mainland),Financials,Financials
601136.SS,Capital Securities Corp Ltd,China (Mainland),China (Mainland),Financials,Financials
508021.SS,Guotai Junan Lingang Innovation and Intelligent Manufacturing Industrial Park Closed-end Infrastructure Securities Investment Fund,China (Mainland),China (Mainland),Financials,Financials
1471.HK,Zhongmiao Holdings Qingdao Co Ltd,China (Mainland),China (Mainland),Financials,Financials
2598.HK,Lianlian DigiTech Co Ltd,China (Mainland),China (Mainland),Financials,Financials
0373.HK,聯合集團有限公司,Hong Kong,Hong Kong,Financials,Financials
0023.HK,東亞銀行有限公司,Hong Kong,Hong Kong,Financials,Financials
0440.HK,大新金融集團有限公司,Hong Kong,Hong Kong,Financials,Financials
0011.HK,恒生銀行有限公司,Hong Kong,Hong Kong,Financials,Financials
