ID,Name,Country of Incorporation,Country of Incorporation,TRBC Economic Sector Name,GICS Sector Name,GICS Sector Name
601128.SS,Jiangsu Changshu Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
3698.HK,Huishang Bank Corp Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601838.SS,Bank of Chengdu Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002736.SZ,Guosen Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
603323.SS,Jiangsu Suzhou Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
600926.SS,Bank of Hangzhou Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601997.SS,Bank of Guiyang Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601375.SS,Central China Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601878.SS,Zheshang Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601319.SS,People's Insurance Company Group of China Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
600927.SS,Yongan Futures Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002961.SZ,Ruida Futures Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1461.HK,Zhongtai Futures Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
603093.SS,Nanhua Futures Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
300803.SZ,Beijing Compass Technology Development Co Ltd,China (Mainland),China (Mainland),技術,Financials,Financials
601881.SS,China Galaxy Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601211.SS,Guotai Junan Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
2799.HK,中國中信金融資產管理股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
2066.HK,盛京銀行股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
1359.HK,中國信達資產管理股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
600909.SS,Huaan Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
3903.HK,Hanhua Financial Holding Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601198.SS,Dongxing Securities Corp Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
6138.HK,哈爾濱銀行股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
600958.SS,Orient Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002807.SZ,Jiangsu Jiangyin Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
600908.SS,Wuxi Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601963.SS,Bank of Chongqing Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1578.HK,Bank of Tianjin Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601916.SS,China Zheshang Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
6866.HK,Zuoli Kechuang Micro-finance Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
000166.SZ,Shenwan Hongyuan Group Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1606.HK,China Development Bank Financial Leasing Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1508.HK,China Reinsurance Group Corp,China (Mainland),China (Mainland),金融,Financials,Financials
002926.SZ,Huaxi Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002797.SZ,First Capital Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1476.HK,Hengtai Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601456.SS,Guolian Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601995.SS,China International Capital Corp Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1543.HK,廣東中盈盛達融資擔保投資股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
601108.SS,Caitong Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002948.SZ,Bank of Qingdao Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002936.SZ,Bank of Zhengzhou Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
001236.SZ,Holly Futures Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601162.SS,Tianfeng Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1697.HK,Shandong International Trust Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
9889.HK,Dongguan Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
6060.HK,眾安在?財產保險股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
1577.HK,Quanzhou Huixin Micro-credit Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
600918.SS,Zhongtai Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
9677.HK,Weihai City Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
600901.SS,Jiangsu Financial Leasing Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
8452.HK,富銀融資租賃（深圳）股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
001227.SZ,Bank of Lanzhou Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
6122.HK,Jilin Jiutai Rural Commercial Bank Corp Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1915.HK,Yangzhou Guangling District Taihe Rural Micro-finance Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002939.SZ,China Great Wall Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002945.SZ,ChinaLin Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002958.SZ,Qingdao Rural Commercial Bank Corp,China (Mainland),China (Mainland),金融,Financials,Financials
601528.SS,Zhejiang Shaoxing RuiFeng Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
002966.SZ,Bank of Suzhou Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601860.SS,Jiangsu Zijin Rural Commercial Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
600928.SS,Bank of XiAn Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
300773.SZ,Lakala Payment Co Ltd,China (Mainland),China (Mainland),工業品,Financials,Financials
601990.SS,Nanjing Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1905.HK,Haitong Unitrust International Financial Leasing Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601658.SS,Postal Savings Bank of China Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1216.HK,Zhongyuan Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601066.SS,China Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
2139.HK,Bank of Gansu Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601187.SS,Xiamen Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1916.HK,江西銀行股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
6190.HK,Bank of Jiujiang Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1835.HK,上海瑞威資產管理股份有限公司,China (Mainland),China (Mainland),金融,Financials,Financials
1973.HK,Tian Tu Capital Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1983.HK,Luzhou Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601696.SS,BOC International China Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601665.SS,Qilu Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
2558.HK,Jinshang Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
6199.HK,Bank of Guizhou Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
1601.HK,Zhongguancun Science-Tech Leasing Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
600906.SS,Caida Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
9668.HK,China Bohai Bank Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601059.SS,Cinda Securities Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
601136.SS,Capital Securities Corp Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
508021.SS,Guotai Junan Lingang Innovation and Intelligent Manufacturing Industrial Park Closed-end Infrastructure Securities Investment Fund,China (Mainland),China (Mainland),房地產,Financials,Financials
1471.HK,Zhongmiao Holdings Qingdao Co Ltd,China (Mainland),China (Mainland),金融,Financials,Financials
2598.HK,Lianlian DigiTech Co Ltd,China (Mainland),China (Mainland),工業品,Financials,Financials
0373.HK,聯合集團有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0023.HK,東亞銀行有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0440.HK,大新金融集團有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0011.HK,恒生銀行有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0165.HK,中國光大控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0174.HK,盛洋投資（控股）有限公司,Hong Kong,Hong Kong,房地產,Financials,Financials
0376.HK,雲鋒金融集團有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0222.HK,閩信集團有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0218.HK,申萬宏源（香港）有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0227.HK,第一上海投資有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0245.HK,中薇金融控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0086.HK,新鴻基有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0668.HK,東銀國際控股有限公司,Hong Kong,Hong Kong,非週期性消費品,Financials,Financials
0605.HK,中國金融投資管理有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0619.HK,南華金融控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0900.HK,AEON信貸財務（亞洲）有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0133.HK,招商局中國基金有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0388.HK,香港交易及結算所有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0966.HK,中國太平保險控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
0821.HK,?盈控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
2388.HK,中銀香港（控股）有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
2356.HK,大新銀行集團有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
JRJCY.PK,中國金融在?有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
1788.HK,國泰君安國際控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
1299.HK,友邦保險控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
3360.HK,遠東宏信有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
FTC.AX,FinTech Chain Ltd,Hong Kong,Hong Kong,技術,Financials,Financials
2666.HK,通用環球醫療集團有限公司,Hong Kong,Hong Kong,醫藥衛生,Financials,Financials
3329.HK,交銀國際控股有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
3877.HK,中國船舶集團（香港）航運租賃有限公司,Hong Kong,Hong Kong,金融,Financials,Financials
AMMB.KL,AMMB Holdings Bhd,Malaysia,Malaysia,金融,Financials,Financials
CIMB.KL,CIMB Group Holdings Bhd,Malaysia,Malaysia,金融,Financials,Financials
RHBC.KL,RHB Bank Bhd,Malaysia,Malaysia,金融,Financials,Financials
MBSB.KL,MBSB Bhd,Malaysia,Malaysia,金融,Financials,Financials
ALLI.KL,Alliance Bank Malaysia Bhd,Malaysia,Malaysia,金融,Financials,Financials
TAKA.KL,Syarikat Takaful Malaysia Keluarga Bhd,Malaysia,Malaysia,金融,Financials,Financials
KCDS.KL,Kuchai Development Bhd,Malaysia,Malaysia,房地產,Financials,Financials
AINM.KL,Allianz Malaysia Bhd,Malaysia,Malaysia,金融,Financials,Financials
PERM.KL,Pertama Digital Bhd,Malaysia,Malaysia,技術,Financials,Financials
INSS.KL,Insas Bhd,Malaysia,Malaysia,金融,Financials,Financials
PUBM.KL,Public Bank Bhd,Malaysia,Malaysia,金融,Financials,Financials
MNLF.KL,Manulife Holdings Bhd,Malaysia,Malaysia,金融,Financials,Financials
AFIN.KL,Affin Bank Bhd,Malaysia,Malaysia,金融,Financials,Financials
APES.KL,Apex Equity Holdings Bhd,Malaysia,Malaysia,金融,Financials,Financials
HLGC.KL,Hong Leong Capital Bhd,Malaysia,Malaysia,金融,Financials,Financials
JHHS.KL,Johan Holdings Bhd,Malaysia,Malaysia,工業品,Financials,Financials
MAAS.KL,MAA Group Bhd,Malaysia,Malaysia,金融,Financials,Financials
BIMB.KL,Bank Islam Malaysia Bhd,Malaysia,Malaysia,金融,Financials,Financials
LOND.KL,Lpi Capital Bhd,Malaysia,Malaysia,金融,Financials,Financials
PACO.KL,Pacific & Orient Bhd,Malaysia,Malaysia,金融,Financials,Financials
MNRB.KL,MNRB Holdings Bhd,Malaysia,Malaysia,金融,Financials,Financials
KNNK.KL,Kenanga Investment Bank Bhd,Malaysia,Malaysia,金融,Financials,Financials
IGBB.KL,Igb Bhd,Malaysia,Malaysia,房地產,Financials,Financials
REDI.KL,Rce Capital Bhd,Malaysia,Malaysia,金融,Financials,Financials
HLCB.KL,Hong Leong Financial Group Bhd,Malaysia,Malaysia,金融,Financials,Financials
MBBM.KL,Malayan Banking Bhd,Malaysia,Malaysia,金融,Financials,Financials
MITC.KL,Mulpha International Bhd,Malaysia,Malaysia,房地產,Financials,Financials
HLBB.KL,Hong Leong Bank Bhd,Malaysia,Malaysia,金融,Financials,Financials
OSKV.KL,Osk Ventures International Bhd,Malaysia,Malaysia,金融,Financials,Financials
BMYS.KL,Bursa Malaysia Bhd,Malaysia,Malaysia,金融,Financials,Financials
ANCR.KL,AEON Credit Service (M) Bhd,Malaysia,Malaysia,金融,Financials,Financials
FINT.KL,Fintec Global Bhd,Malaysia,Malaysia,週期性消費品,Financials,Financials
ELKD.KL,ELK-Desa Resources Bhd,Malaysia,Malaysia,金融,Financials,Financials
TUNE.KL,Tune Protect Group Bhd,Malaysia,Malaysia,金融,Financials,Financials
REVE.KL,Revenue Group Bhd,Malaysia,Malaysia,工業品,Financials,Financials
EQUI.KL,EquitiesTracker Holdings Bhd,Malaysia,Malaysia,金融,Financials,Financials
PAPP.KL,Pappajack Bhd,Malaysia,Malaysia,金融,Financials,Financials
MERC.KL,Mercury Securities Group Bhd,Malaysia,Malaysia,金融,Financials,Financials
EVEG.KL,Evergreen Max Cash Capital Bhd,Malaysia,Malaysia,金融,Financials,Financials
WELC.KL,Well Chip Group Bhd,Malaysia,Malaysia,金融,Financials,Financials
AYUD.BK,Allianz Ayudhya Capital PCL,Thailand,Thailand,金融,Financials,Financials
BAY.BK,Bank of Ayudhya PCL,Thailand,Thailand,金融,Financials,Financials
BUI.BK,Bangkok Union Insurance PCL,Thailand,Thailand,金融,Financials,Financials
KWI.BK,KWI PCL,Thailand,Thailand,金融,Financials,Financials
KGI.BK,KGI Securities (Thailand) PCL,Thailand,Thailand,金融,Financials,Financials
CIMBT.BK,CIMB Thai Bank PCL,Thailand,Thailand,金融,Financials,Financials
ASP.BK,Asia Plus Group Holdings PCL,Thailand,Thailand,金融,Financials,Financials
CHARAN.BK,Charan Insurance PCL,Thailand,Thailand,金融,Financials,Financials
TIPH.BK,Dhipaya Group Holdings PCL,Thailand,Thailand,金融,Financials,Financials
SGFm.BK,SGF Capital PCL,Thailand,Thailand,金融,Financials,Financials
TSI.BK,Thai Setakij Insurance PCL,Thailand,Thailand,金融,Financials,Financials
SCAP.BK,Srisawad Capital 1969 PCL,Thailand,Thailand,金融,Financials,Financials
INSURE.BK,Indara Insurance PCL,Thailand,Thailand,金融,Financials,Financials
KKP.BK,Kiatnakin Phatra Bank PCL,Thailand,Thailand,金融,Financials,Financials
KTB.BK,Krung Thai Bank PCL,Thailand,Thailand,金融,Financials,Financials
MFC.BK,MFC Asset Management PCL,Thailand,Thailand,金融,Financials,Financials
TCAP.BK,Thanachart Capital PCL,Thailand,Thailand,金融,Financials,Financials
NKI.BK,Navakij Insurance PCL,Thailand,Thailand,金融,Financials,Financials
BBL.BK,Bangkok Bank PCL,Thailand,Thailand,金融,Financials,Financials
THRE.BK,Thai Reinsurance PCL,Thailand,Thailand,金融,Financials,Financials
KBANK.BK,Kasikornbank PCL,Thailand,Thailand,金融,Financials,Financials
XPG.BK,Xspring Capital PCL,Thailand,Thailand,金融,Financials,Financials
TTB.BK,TMBThanachart Bank PCL,Thailand,Thailand,金融,Financials,Financials
BYD.BK,Beyond Securities PCL,Thailand,Thailand,金融,Financials,Financials
AEONTS.BK,Aeon Thana Sinsap Thailand PCL,Thailand,Thailand,金融,Financials,Financials
AMANAH.BK,Amanah Leasing PCL,Thailand,Thailand,金融,Financials,Financials
FNS.BK,FNS Holdings PCL,Thailand,Thailand,金融,Financials,Financials
KTC.BK,Krungthai Card PCL,Thailand,Thailand,金融,Financials,Financials
TNITY.BK,Trinity Watthana PCL,Thailand,Thailand,金融,Financials,Financials
THANI.BK,Ratchthani Leasing PCL,Thailand,Thailand,金融,Financials,Financials
MIDA.BK,Mida Assets PCL,Thailand,Thailand,金融,Financials,Financials
TK.BK,Thitikorn PCL,Thailand,Thailand,金融,Financials,Financials
MST.BK,Maybank Securities Thailand PCL,Thailand,Thailand,金融,Financials,Financials
ECL.BK,Eastern Commercial Leasing PCL,Thailand,Thailand,金融,Financials,Financials
ML.BK,Mida Leasing PCL,Thailand,Thailand,金融,Financials,Financials
AFm.BK,Aira Factoring PCL,Thailand,Thailand,金融,Financials,Financials
GBX.BK,Globlex Holding Management PCL,Thailand,Thailand,金融,Financials,Financials
GL.BK,Group Lease PCL,Thailand,Thailand,金融,Financials,Financials
ASK.BK,Asia Sermkij Leasing PCL,Thailand,Thailand,金融,Financials,Financials
ACAPm.BK,Asia Capital Group PCL,Thailand,Thailand,金融,Financials,Financials
UOBKH.BK,UOB Kay Hian Securities Thailand PCL,Thailand,Thailand,金融,Financials,Financials
BLA.BK,Bangkok Life Assurance PCL,Thailand,Thailand,金融,Financials,Financials
MTI.BK,Muang Thai Insurance PCL,Thailand,Thailand,金融,Financials,Financials
TISCO.BK,TISCO Financial Group PCL,Thailand,Thailand,金融,Financials,Financials
LHFG.BK,LH Financial Group PCL,Thailand,Thailand,金融,Financials,Financials
IFS.BK,IFS Capital Thailand PCL,Thailand,Thailand,金融,Financials,Financials
BAM.BK,Bangkok Commercial Asset Management PCL,Thailand,Thailand,金融,Financials,Financials
TLI.BK,Thai Life Insurance PCL,Thailand,Thailand,金融,Financials,Financials
SAWAD.BK,Srisawad Corporation PCL,Thailand,Thailand,金融,Financials,Financials
JMT.BK,JMT Network Services PCL,Thailand,Thailand,金融,Financials,Financials
THREL.BK,Thaire Life Assurance PCL,Thailand,Thailand,金融,Financials,Financials
LITm.BK,Lease IT PCL,Thailand,Thailand,金融,Financials,Financials
AIRAm.BK,Aira Capital PCL,Thailand,Thailand,金融,Financials,Financials
FSMARTm.BK,Forth Smart Service PCL,Thailand,Thailand,工業品,Financials,Financials
GCAPm.BK,G Capital PCL,Thailand,Thailand,金融,Financials,Financials
MTC.BK,Muangthai Capital PCL,Thailand,Thailand,金融,Financials,Financials
S11.BK,S 11 Group PCL,Thailand,Thailand,金融,Financials,Financials
CGH.BK,Country Group Holdings PCL,Thailand,Thailand,金融,Financials,Financials
ASNm.BK,ASN Broker PCL,Thailand,Thailand,金融,Financials,Financials
TQM.BK,TQM Alpha PCL,Thailand,Thailand,金融,Financials,Financials
SABUY.BK,Sabuy Technology PCL,Thailand,Thailand,工業品,Financials,Financials
TGH.BK,Thai Group Holdings PCL,Thailand,Thailand,金融,Financials,Financials
MICRO.BK,Micro Leasing PCL,Thailand,Thailand,金融,Financials,Financials
SAK.BK,Saksiam Leasing PCL,Thailand,Thailand,金融,Financials,Financials
NCAP.BK,Next Capital PCL,Thailand,Thailand,金融,Financials,Financials
TQRm.BK,TQR PCL,Thailand,Thailand,金融,Financials,Financials
TIDLOR.BK,Ngern Tid Lor PCL,Thailand,Thailand,金融,Financials,Financials
HENG.BK,Heng Leasing and Capital PCL,Thailand,Thailand,金融,Financials,Financials
SCB.BK,SCB X PCL,Thailand,Thailand,金融,Financials,Financials
SGC.BK,SG Capital PCL,Thailand,Thailand,金融,Financials,Financials
CHASE.BK,Chase Asia PCL,Thailand,Thailand,金融,Financials,Financials
